"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2019","30km",181.938402839686,104849
"2","AIA","Anguilla","2019","30km",82.7588064675837,15733
"3","ARE","United Arab Emirates","2019","30km",10892.6045286271,5775168
"4","ASM","American Samoa","2019","30km",223.40214236525,46148
"5","ATF","French Southern Territories","2019","30km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","2019","30km",435.809951969794,92593
"7","AUS","Australia","2019","30km",143075.518924887,4976082
"8","BES","Bonaire, Sint Eustatius and Saba","2019","30km",323.694202070856,22989
"9","BGD","Bangladesh","2019","30km",88.7567259970049,96626
"10","BHR","Bahrain","2019","30km",715.125475983707,1323367
"11","BHS","Bahamas","2019","30km",13374.8721897843,317939
"12","BLM","Saint-Barthélemy","2019","30km",24.7077714822599,6206
"13","BLZ","Belize","2019","30km",7000.60057590832,170167
"14","BMU","Bermuda","2019","30km",68.0627244870921,65552
"15","BRA","Brazil","2019","30km",34621.1319785562,13044296
"16","BRB","Barbados","2019","30km",434.639641225766,290171
"17","BRN","Brunei","2019","30km",1484.49174832892,409133
"18","CCK","Cocos Islands","2019","30km",13.7097441616949,485
"19","CHN","China","2019","30km",18432.419437931,18548170
"20","COK","Cook Islands","2019","30km",261.315290585645,6958
"21","COL","Colombia","2019","30km",18533.5492011287,2650484
"22","COM","Comoros","2019","30km",1673.14999173558,770719
"23","CRI","Costa Rica","2019","30km",16228.3031688403,773949
"24","CUB","Cuba","2019","30km",59046.7631414614,6102715
"25","CUW","Curaçao","2019","30km",437.711430289881,148818
"26","CXR","Christmas Island","2019","30km",139.61034367312,1721
"27","CYM","Cayman Islands","2019","30km",280.407609765878,56495
"28","DJI","Djibouti","2019","30km",9319.97499079508,676159
"29","DMA","Dominica","2019","30km",754.214293754349,67142
"30","DOM","Dominican Republic","2019","30km",24919.0859046312,7179192
"31","ECU","Ecuador","2019","30km",6791.74432561609,30523
"32","EGY","Egypt","2019","30km",43824.1622325736,1194018
"33","ERI","Eritrea","2019","30km",20076.039126524,378861
"34","FJI","Fiji","2019","30km",17493.9654849689,879834
"35","FSM","Micronesia","2019","30km",774.856625280964,78346
"36","GLP","Guadeloupe","2019","30km",1650.23696712203,370712
"37","GRD","Grenada","2019","30km",359.530958549701,106008
"38","GTM","Guatemala","2019","30km",1867.25019684576,137739
