"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","2020","100km",181.938402839687,113056
"2","AIA","Anguilla","2020","100km",83.3033093991381,16137
"3","ARE","United Arab Emirates","2020","100km",47279.5031156257,8819995
"4","ASM","American Samoa","2020","100km",223.40214236525,43949
"5","ATF","French Southern Territories","2020","100km",43.5804712349176,0
"6","ATG","Antigua and Barbuda","2020","100km",435.809951969794,93127
"7","AUS","Australia","2020","100km",622817.538844316,9328015
"8","BES","Bonaire, Sint Eustatius and Saba","2020","100km",323.694202070856,22958
"9","BGD","Bangladesh","2020","100km",1864.15400353159,2128348
"10","BHR","Bahrain","2020","100km",715.125475983706,1348131
"11","BHS","Bahamas","2020","100km",13388.0799764506,315775
"12","BLM","Saint-Barthélemy","2020","100km",24.7077714822598,6333
"13","BLZ","Belize","2020","100km",21905.9249365681,384576
"14","BMU","Bermuda","2020","100km",68.0627244870921,65667
"15","BRA","Brazil","2020","100km",153631.584248667,21866999
"16","BRB","Barbados","2020","100km",434.639641225766,290125
"17","BRN","Brunei","2020","100km",5777.79991355049,457617
"18","CCK","Cocos Islands","2020","100km",13.7097441616949,493
"19","CHN","China","2020","100km",99088.3234433109,72044842
"20","COK","Cook Islands","2020","100km",261.315290585645,6431
"21","COL","Colombia","2020","100km",99372.6951374339,8962155
"22","COM","Comoros","2020","100km",1673.14999173558,782145
"23","CRI","Costa Rica","2020","100km",46181.5308122794,4928359
"24","CUB","Cuba","2020","100km",110730.653818068,10909346
"25","CUW","Curaçao","2020","100km",437.711430289881,147895
"26","CXR","Christmas Island","2020","100km",139.61034367312,1702
"27","CYM","Cayman Islands","2020","100km",280.407609765878,56634
"28","DJI","Djibouti","2020","100km",21852.8810479821,901131
"29","DMA","Dominica","2020","100km",754.214293754349,66478
"30","DOM","Dominican Republic","2020","100km",48092.0955139662,10433450
"31","ECU","Ecuador","2020","100km",7988.52724632361,30890
"32","EGY","Egypt","2020","100km",141355.299388876,4872400
