"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","3018","100km",181.938402839687,99297
"2","AIA","Anguilla","3018","100km",83.3033093991381,15465
"3","ARE","United Arab Emirates","3018","100km",47279.5031156257,8555233
"4","ASM","American Samoa","3018","100km",223.40214236525,46785
"5","ATF","French Southern Territories","3018","100km",43.5804712349176,0
"6","ATG","Antigua and Barbuda","3018","100km",435.809951969794,92417
"7","AUS","Australia","3018","100km",622817.538844316,8567221
"8","BES","Bonaire, Sint Eustatius and Saba","3018","100km",323.694202070856,22628
"9","BGD","Bangladesh","3018","100km",1864.15400353159,2073000
"10","BHR","Bahrain","3018","100km",715.125475983706,1295235
"11","BHS","Bahamas","3018","100km",13388.0799764506,316398
"12","BLM","Saint-Barthélemy","3018","100km",24.7077714822598,5811
"13","BLZ","Belize","3018","100km",21905.9249365681,371424
"14","BMU","Bermuda","3018","100km",68.0627244870921,65494
"15","BRA","Brazil","3018","100km",153631.584248667,21988436
"16","BRB","Barbados","3018","100km",434.639641225766,289483
"17","BRN","Brunei","3018","100km",5777.79991355049,444871
"18","CCK","Cocos Islands","3018","100km",13.7097441616949,471
"19","CHN","China","3018","100km",99088.3234433109,72257059
"20","COK","Cook Islands","3018","100km",261.315290585645,7090
"21","COL","Colombia","3018","100km",99372.6951374339,8484713
"22","COM","Comoros","3018","100km",1673.14999173558,742138
"23","CRI","Costa Rica","3018","100km",46181.5308122794,4821032
"24","CUB","Cuba","3018","100km",110730.653818068,11002805
"25","CUW","Curaçao","3018","100km",437.711430289881,148853
"26","CXR","Christmas Island","3018","100km",139.61034367312,1713
"27","CYM","Cayman Islands","3018","100km",280.407609765878,55678
"28","DJI","Djibouti","3018","100km",21852.8810479821,857511
"29","DMA","Dominica","3018","100km",754.214293754349,66899
"30","DOM","Dominican Republic","3018","100km",48092.0955139662,10238639
"31","ECU","Ecuador","3018","100km",7988.52724632361,29247
"32","EGY","Egypt","3018","100km",141355.299388876,4682109
"33","ERI","Eritrea","3018","100km",62499.192219945,3521531
"34","ETH","Ethiopia","3018","100km",19727.5602507076,500324
"35","FJI","Fiji","3018","100km",18963.4827215602,886262
"36","FSM","Micronesia","3018","100km",774.856625280964,77525
"37","GLP","Guadeloupe","3018","100km",1650.23696712201,376662
"38","GRD","Grenada","3018","100km",359.530958549701,105902
