"","ISO3","NAME_0","Year","Distance","buffer_area_km2","pop"
"1","ABW","Aruba","3018","50km",181.938402839687,99297
"2","AIA","Anguilla","3018","50km",83.3033093991381,15465
"3","ARE","United Arab Emirates","3018","50km",21739.9578305422,6982775
"4","ASM","American Samoa","3018","50km",223.40214236525,46785
"5","ATF","French Southern Territories","3018","50km",43.5804712349177,0
"6","ATG","Antigua and Barbuda","3018","50km",435.809951969795,92417
"7","AUS","Australia","3018","50km",268961.345175834,7284555
"8","BES","Bonaire, Sint Eustatius and Saba","3018","50km",323.694202070856,22628
"9","BGD","Bangladesh","3018","50km",239.252465441537,352521
"10","BHR","Bahrain","3018","50km",715.125475983706,1295235
"11","BHS","Bahamas","3018","50km",13388.0799764506,316398
"12","BLM","Saint-Barthélemy","3018","50km",24.7077714822599,5811
"13","BLZ","Belize","3018","50km",13281.321391174,219992
"14","BMU","Bermuda","3018","50km",68.0627244870921,65494
"15","BRA","Brazil","3018","50km",64665.8667273675,15555627
"16","BRB","Barbados","3018","50km",434.639641225766,289483
"17","BRN","Brunei","3018","50km",3260.7735763333,442970
"18","CCK","Cocos Islands","3018","50km",13.7097441616949,471
"19","CHN","China","3018","50km",40031.7239851673,37591536
"20","COK","Cook Islands","3018","50km",261.315290585645,7090
"21","COL","Colombia","3018","50km",39544.4628073643,5654466
"22","COM","Comoros","3018","50km",1673.14999173558,742138
"23","CRI","Costa Rica","3018","50km",29030.2596558938,1376295
"24","CUB","Cuba","3018","50km",96769.479352702,9751286
"25","CUW","Curaçao","3018","50km",437.711430289881,148853
"26","CXR","Christmas Island","3018","50km",139.61034367312,1713
"27","CYM","Cayman Islands","3018","50km",280.407609765878,55678
"28","DJI","Djibouti","3018","50km",15097.33545986,814124
"29","DMA","Dominica","3018","50km",754.214293754348,66899
"30","DOM","Dominican Republic","3018","50km",36887.7226910721,9228746
"31","ECU","Ecuador","3018","50km",7799.14323953488,29247
"32","EGY","Egypt","3018","50km",72238.5523162878,1322289
"33","ERI","Eritrea","3018","50km",34578.8292584892,715381
"34","ETH","Ethiopia","3018","50km",187.370366665602,469
"35","FJI","Fiji","3018","50km",18963.4827215618,886262
"36","FSM","Micronesia","3018","50km",774.856625280964,77525
"37","GLP","Guadeloupe","3018","50km",1650.23696712203,376662
"38","GRD","Grenada","3018","50km",359.530958549701,105902
"39","GTM","Guatemala","3018","50km",5222.92405130663,619140
"40","GUM","Guam","3018","50km",549.794316053389,164389
"41","HKG","Hong Kong","3018","50km",1035.42436463238,6904328
"42","HND","Honduras","3018","50km",13844.1549259973,1993917
"43","HTI","Haiti","3018","50km",24955.5990991054,10106620
"44","IDN","Indonesia","3018","50km",682744.212219976,155863574
"45","IND","India","3018","50km",109698.569128422,76357257
"46","IOT","British Indian Ocean Territory","3018","50km",64.4476741696049,0
"47","IRN","Iran","3018","50km",39835.1454994395,2073183
"48","IRQ","Iraq","3018","50km",8.52055737615712,115
"49","ISR","Israel","3018","50km",956.712163431903,62668
"50","JAM","Jamaica","3018","50km",11000.0339419277,2773895
"51","JOR","Jordan","3018","50km",2987.80129346386,160702
"52","JPN","Japan","3018","50km",5064.93094272673,1486742
"53","KEN","Kenya","3018","50km",23124.5632751612,3243753
"54","KHM","Cambodia","3018","50km",10137.2355282511,983491
"55","KIR","Kiribati","3018","50km",1012.08209593034,66664
"56","KNA","Saint Kitts and Nevis","3018","50km",267.120724961901,50772
"57","KWT","Kuwait","3018","50km",8264.732755232,2859949
"58","LCA","Saint Lucia","3018","50km",614.429762727122,157599
"59","LKA","Sri Lanka","3018","50km",29645.885379663,9251429
"60","MAF","Saint-Martin","3018","50km",56.1677442916259,28935
"61","MDG","Madagascar","3018","50km",142822.971712817,6828912
"62","MDV","Maldives","3018","50km",299.684623448732,253630
"63","MEX","Mexico","3018","50km",254865.498515207,14877087
"64","MHL","Marshall Islands","3018","50km",300.282751393591,31827
"65","MMR","Myanmar","3018","50km",46778.197825045,3469661
"66","MNP","Northern Mariana Islands","3018","50km",345.533353682873,49057
"67","MOZ","Mozambique","3018","50km",63906.6772648655,6720493
"68","MSR","Montserrat","3018","50km",100.645473903565,5208
"69","MTQ","Martinique","3018","50km",1117.98246840908,349629
"70","MUS","Mauritius","3018","50km",2027.40992123574,1318461
"71","MYS","Malaysia","3018","50km",70404.8810609073,12470689
"72","MYT","Mayotte","3018","50km",391.665902424275,243737
"73","NCL","New Caledonia","3018","50km",18825.3934459647,267068
"74","NIC","Nicaragua","3018","50km",8937.91207185182,158884
"75","NIU","Niue","3018","50km",266.670100392882,1509
"76","NRU","Nauru","3018","50km",22.1510580966136,5857
"77","OMN","Oman","3018","50km",47332.7409982877,2107871
"78","PAN","Panama","3018","50km",49588.7886510965,3101900
"79","PCN","Pitcairn Islands","3018","50km",54.1939752707576,15
"80","PHL","Philippines","3018","50km",252217.593972087,85009203
"81","PLW","Palau","3018","50km",487.506089064966,19137
"82","PNG","Papua New Guinea","3018","50km",139227.273432856,2390808
"83","PRI","Puerto Rico","3018","50km",8970.47374321587,3259873
"84","PYF","French Polynesia","3018","50km",3063.78448663383,218978
"85","QAT","Qatar","3018","50km",9991.56791828488,2327539
"86","REU","Reunion","3018","50km",2512.65206471435,824334
"87","SAU","Saudi Arabia","3018","50km",112595.941096225,10398913
"88","SDN","Sudan","3018","50km",32863.1811183137,1363204
"89","SGP","Singapore","3018","50km",697.024675791709,5973866
"90","SLB","Solomon Islands","3018","50km",28532.827572718,518241
"91","SOM","Somalia","3018","50km",29624.4796624008,2756756
"92","SXM","Sint Maarten","3018","50km",38.007183115797,40545
"93","SYC","Seychelles","3018","50km",490.164991181113,84464
"94","TCA","Turks and Caicos Islands","3018","50km",991.45112604364,50471
"95","THA","Thailand","3018","50km",42767.3528061366,6293487
"96","TKL","Tokelau","3018","50km",15.667142769532,290
"97","TLS","Timor-Leste","3018","50km",14750.7798034289,1272582
"98","TON","Tonga","3018","50km",710.918665431546,97891
"99","TTO","Trinidad and Tobago","3018","50km",2821.49632132873,504860
"100","TUV","Tuvalu","3018","50km",41.7256053057579,5959
"101","TWN","Taiwan","3018","50km",17870.6652290085,11473344
"102","TZA","Tanzania","3018","50km",42747.7819919597,9629740
"103","UMI","United States Minor Outlying Islands","3018","50km",47.2682503712191,25
"104","USA","United States","3018","50km",30827.7585715707,9592568
"105","VCT","Saint Vincent and the Grenadines","3018","50km",397.945402476239,91385
"106","VEN","Venezuela","3018","50km",28821.6932984562,11941168
"107","VGB","British Virgin Islands","3018","50km",169.356708834683,33360
"108","VIR","Virgin Islands, U.S.","3018","50km",362.159801764775,101492
"109","VNM","Vietnam","3018","50km",55032.9055844216,18867244
"110","VUT","Vanuatu","3018","50km",12318.9857731128,251645
"111","WLF","Wallis and Futuna","3018","50km",155.740831769511,13371
"112","WSM","Samoa","3018","50km",2853.35947333388,179063
"113","XCL","Clipperton Island","3018","50km",10.0973004127489,0
"114","XPI","Paracel Islands","3018","50km",19.6775404555954,243
"115","XSP","Spratly Islands","3018","50km",1.87468551044417,58
"116","YEM","Yemen","3018","50km",38705.8908965614,4434807
"117","ZAF","South Africa","3018","50km",2403.16249518889,73187
